channel_handle,channel_name,channel_url,grade,analyzed,video_count,midform_ratio,shortform_ratio,longform_ratio,median_views,videos_analyzed,last_scanned_at,status,notes,priority
@The_shorts_king25,The_shorts_king,https://www.youtube.com/@The_shorts_king25/videos,미분석,no,1,0,0,0,0,0,,unused,,
@KuehnholdPavella,Kuehnhold Pavella,https://www.youtube.com/@KuehnholdPavella/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MavisCollinsmovie,Mavis Collinsmovie,https://www.youtube.com/@MavisCollinsmovie/videos,미분석,no,5,0,0,0,0,0,,unused,,
@KevinLichtenstein,FlickZone,https://www.youtube.com/@KevinLichtenstein/videos,미분석,no,2,0,0,0,0,0,,unused,,
@koni5277,Koni,https://www.youtube.com/@koni5277/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MotionLoom-c7o,Motion Loom,https://www.youtube.com/@MotionLoom-c7o/videos,미분석,no,2,0,0,0,0,0,,unused,,
@Kavalry,Kavalry,https://www.youtube.com/@Kavalry/videos,미분석,no,1,0,0,0,0,0,,unused,,
@IronCollision-o7j,IronCollision,https://www.youtube.com/@IronCollision-o7j/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MiloEnders-g8o,Milo Enders,https://www.youtube.com/@MiloEnders-g8o/videos,미분석,no,1,0,0,0,0,0,,unused,,
@ReynaldoBriggs,ShotVibe,https://www.youtube.com/@ReynaldoBriggs/videos,미분석,no,1,0,0,0,0,0,,unused,,
@StoryMill-j6c,StoryMill,https://www.youtube.com/@StoryMill-j6c/videos,미분석,no,1,0,0,0,0,0,,unused,,
@EchoedMind-b5p,EchoedMind,https://www.youtube.com/@EchoedMind-b5p/videos,미분석,no,2,0,0,0,0,0,,unused,,
@BeatriceGentry-z3m,Filkory,https://www.youtube.com/@BeatriceGentry-z3m/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Montgomery-o8,Montgomery,https://www.youtube.com/@Montgomery-o8/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MarenThorne9,Maren Thorne,https://www.youtube.com/@MarenThorne9/videos,미분석,no,1,0,0,0,0,0,,unused,,
@House_of_geniuses_k,House Of Geniuses,https://www.youtube.com/@House_of_geniuses_k/videos,미분석,no,2,0,0,0,0,0,,unused,,
@ReelQuicks,ReelQuicks,https://www.youtube.com/@ReelQuicks/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MovieLuxeShorts,MovieLuxeShorts,https://www.youtube.com/@MovieLuxeShorts/videos,미분석,no,1,0,0,0,0,0,,unused,,
